방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류,회사,MD분류원본,편성구분명,MD명,비상품여부
2026-01-01,00:35 ~ 01:35,전체,60,34.4,[70] e쿠폰/여행/렌탈/보험,[70000561] 해외패키지/일본여행,해외패키지/일본여행,70000561,70,여기어때,[여기어때투어]NO환차/특급2박 스페인/포르투갈 9일(아시아나직항),0,0,무료배송,7582106,https://imgs.kshop.co.kr/d2/product/emc/202512/75/82/106/7582106_550_20251224142251.jpg,https://www.kshop.co.kr/display/product/7582106,여행,K쇼핑,여행,,,N
2026-01-01,01:35 ~ 02:35,전체,60,15.6,[20] 패션슈즈/신발,[70000005] 일반방송상품,일반방송상품,70000005,20,타바로니캐시미어,"[런칭가69,900원]타바로니 캐시미어100% 여성 장갑",39900,39900,"무료배송 | 2,000원 쿠폰",3929905,https://imgs.kshop.co.kr/d2/product/emc/202410/39/29/905/3929905_550_20241009085749.jpg,https://www.kshop.co.kr/display/product/3929905,잡화,K쇼핑,잡화,,,N
2026-01-01,02:36 ~ 03:36,전체,60,9.2,[70] e쿠폰/여행/렌탈/보험,[70001236] 금융보험/운전자/상해보험,금융보험/운전자/상해보험,70001236,70,웅진프리드라이프,웅진프리드라이프_늘사랑 (사은품: IH저압압력솥7L+IH프라이팬2종),0,0,무료배송,6473753,https://imgs.kshop.co.kr/d2/product/emc/202510/64/73/753/6473753_550_20251013182837.jpg,https://www.kshop.co.kr/display/product/6473753,보험,K쇼핑,보험,,,N
2026-01-01,03:39 ~ 04:09,전체,30,1.0,[45] 식품/건강식품,[70000398] 안마기/마사지기,안마기/마사지기,70000398,45,닥터린,닥터린 콘드로이친 콘레이티 MBP + K2 12개월분,329000,329000,무료배송 | NH농협 5.0%청구할인,5089521,https://imgs.kshop.co.kr/d2/product/emc/202410/39/42/164/3942164_550_20241018165223.jpg,https://www.kshop.co.kr/display/product/5089521,건강식품,K쇼핑,건강식품,,,N
2026-01-01,04:10 ~ 04:30,전체,20,3.2,[45] 식품/건강식품,[70000398] 안마기/마사지기,안마기/마사지기,70000398,45,데이즈온,데이즈온 원데이 알파씨디 18박스,276000,276000,"무료배송 | 10,000원 쿠폰 | NH농협 5.0%청구할인",6388618,https://imgs.kshop.co.kr/d2/product/emc/202510/63/88/618/6388618_550_20251002160728.jpg,https://www.kshop.co.kr/display/product/6388618,건강식품,K쇼핑,건강식품,,,N
2026-01-01,04:31 ~ 05:31,전체,60,9.7,[40] 레포츠,[70000130] 일반방송상품,일반방송상품,70000130,40,노르덴,노르덴 방한워머 2세트(방한모자 넥 마스크),29800,29800,"무료배송 | 3,000원 쿠폰",7608030,https://imgs.kshop.co.kr/d2/product/emc/202512/A8/92/0437/A8920437_550_20251212141633.png,https://www.kshop.co.kr/display/product/7608030,레포츠,K쇼핑,레포츠,,,N
2026-01-01,05:31 ~ 06:31,전체,60,33.8,[45] 식품/건강식품,[70000398] 안마기/마사지기,안마기/마사지기,70000398,45,콴첼,[방송에서만2+1]HLB 알부민 인텐시브 골드 3박스,169000,169000,무료배송,6511763,https://imgs.kshop.co.kr/d2/product/emc/202510/65/11/763/6511763_550_20251029132751.jpg,https://www.kshop.co.kr/display/product/6511763,건강식품,K쇼핑,건강식품,,,N
2026-01-01,06:31 ~ 07:31,전체,60,58.1,[45] 식품/건강식품,[70000394] 건강기능식품/유산균/오메가3,건강기능식품/유산균/오메가3,70000394,45,닥터루템,[방송에서만 3박스 더]이시형박사의 알부민 플래티넘 6박스,369000,369000,무료배송 | 삼성 5.0%청구할인,7261037,https://imgs.kshop.co.kr/d2/product/emc/202512/72/61/037/7261037_550_20251203133131.jpg,https://www.kshop.co.kr/display/product/7261037,건강식품,K쇼핑,건강식품,,,N
2026-01-01,07:32 ~ 08:32,전체,60,68.5,[40] 레포츠,[70000314] 팬츠/의류,팬츠/의류,70000314,40,테이핑테크,[테이핑테크](여)최신상 바른자세 테이핑웨어시즌2 상의 2종,69800,69800,"무료배송 | 3,490원 쿠폰 | 롯데 5.0%청구할인",6439401,https://imgs.kshop.co.kr/d2/product/emc/202509/A7/67/4424/A7674424_550_20250925124346.jpg,https://www.kshop.co.kr/display/product/6439401,레포츠,K쇼핑,레포츠,,,N
2026-01-01,08:32 ~ 09:32,전체,60,76.7,[75] 귀금속/보석/순금,[70000113] 일반방송상품,일반방송상품,70000113,75,한국금거래센터,24K 순금 글램 트리플링+사은품,859000,859000,"무료배송 | 10,000원 쿠폰",7435387,https://imgs.kshop.co.kr/d2/product/emc/202512/A8/81/7221/A8817221_550_20251208102805.jpg,https://www.kshop.co.kr/display/product/7435387,잡화,K쇼핑,명품주얼리,,,N
