방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류,회사,MD분류원본,편성구분명,MD명,비상품여부
2026-01-01,00:31~01:31,전체,60,34.8,건강식품,위수탁,,,,RODZINA,[RODZINA]오한진백세알부민,258000,258000,,57330755,https://imagecdn.skstoa.com/goods/755/57330755_c.jpg,https://www.skstoa.com/display/goods/57330755,건강식품,SK스토아,건강식품,[RODZINA]오한진백세알부민,강병훈,N
2026-01-01,01:31~02:11,전체,40,0.8,건강식품,위수탁,,,,RODZINA,[RODZINA]오한진백세알부민,258000,258000,,57330755,https://imagecdn.skstoa.com/goods/755/57330755_c.jpg,https://www.skstoa.com/display/goods/57330755,건강식품,SK스토아,건강식품,[RODZINA]오한진백세알부민,강병훈,N
2026-01-01,02:11~02:51,전체,40,0.6,언더웨어,직매입,,,,아디다스,[아디다스](25FW)동내의,99000,99000,,55788853,https://imagecdn.skstoa.com/goods/853/55788853_c.jpg,https://www.skstoa.com/display/goods/55788853,언더웨어,SK스토아,언더웨어,[아디다스](25FW)동내의,하인호,N
2026-01-01,02:51~03:31,전체,40,0.4,언더웨어,직매입,,,,로맨틱블룸,[로맨틱블룸](24SS)브라,84500,84500,,48964314,https://imagecdn.skstoa.com/goods/314/48964314_c.jpg,https://www.skstoa.com/display/goods/48964314,언더웨어,SK스토아,언더웨어,[로맨틱블룸](24SS)브라,김소영,N
2026-01-01,03:31~04:11,전체,40,0.4,PB,직매입,,,,존스뉴욕,[존스뉴욕](24FW)롱코트,159000,159000,,42423583,https://imagecdn.skstoa.com/goods/583/42423583_c.jpg,https://www.skstoa.com/display/goods/42423583,의류,SK스토아,PB,[존스뉴욕](24FW)롱코트,박서우,N
2026-01-01,04:11~04:51,전체,40,0.6,주방가전,위수탁,,,,보랄,[보랄]압력밥솥세트,149000,149000,,58131078,https://imagecdn.skstoa.com/goods/078/58131078_c.jpg,https://www.skstoa.com/display/goods/58131078,주방,SK스토아,주방가전,[보랄]압력밥솥세트,마영호,N
2026-01-01,04:51~05:31,전체,40,0.8,뷰티,위수탁,,,,제로시피,[제로시피]탈모샴푸,99000,99000,,56291014,https://imagecdn.skstoa.com/goods/014/56291014_c.jpg,https://www.skstoa.com/display/goods/56291014,뷰티,SK스토아,뷰티,[제로시피]탈모샴푸,임정우,N
2026-01-01,05:31~06:31,전체,60,44.4,건강식품,혼합수수료,,,,데이즈온,[데이즈온]루피니빈,149000,149000,,58172498,https://imagecdn.skstoa.com/goods/498/58172498_c.jpg,https://www.skstoa.com/display/goods/58172498,건강식품,SK스토아,건강식품,[데이즈온]루피니빈,윤혜성,N
2026-01-01,06:31~07:31,전체,60,74.4,뷰티,위수탁,,,,코리아나,[코리아나]더블랙풀기초,59900,59900,,41806304,https://imagecdn.skstoa.com/goods/304/41806304_c.jpg,https://www.skstoa.com/display/goods/41806304,뷰티,SK스토아,뷰티,[코리아나]더블랙풀기초,임정우,N
2026-01-01,07:31~08:31,전체,60,107.4,생활용품,위수탁,,,,부하우스,[부하우스]이불압축파우치,69000,69000,,46159673,https://imagecdn.skstoa.com/goods/673/46159673_c.jpg,https://www.skstoa.com/display/goods/46159673,리빙,SK스토아,생활용품,[부하우스]이불압축파우치,박정훈,N
2026-01-01,08:31~09:31,전체,60,109.2,건강식품,혼합수수료,,,,대원제약,[대원제약]콜라겐,198000,198000,,57947902,https://imagecdn.skstoa.com/goods/902/57947902_c.jpg,https://www.skstoa.com/display/goods/57947902,건강식품,SK스토아,건강식품,[대원제약]콜라겐,김덕주,N
2026-01-01,09:31~10:31,전체,60,108.0,캐쥬얼남성,위수탁,,,,펠틱스,[펠틱스](25FW)패딩조거,49900,49900,,53029626,https://imagecdn.skstoa.com/goods/626/53029626_c.jpg,https://www.skstoa.com/display/goods/53029626,의류,SK스토아,캐쥬얼남성,[펠틱스](25FW)패딩조거,이린,N
2026-01-01,10:31~11:31,전체,60,104.4,뷰티,혼합수수료,,,,센텔리안24,[센텔리안24]마데카크림,99900,99900,,57947198,https://imagecdn.skstoa.com/goods/198/57947198_c.jpg,https://www.skstoa.com/display/goods/57947198,뷰티,SK스토아,뷰티,[센텔리안24]마데카크림,임정우,N
2026-01-01,11:31~12:31,전체,60,85.2,주방용품,위수탁,,,,포트메리온,[포트메리온]보타닉가든,699000,699000,,57942896,https://imagecdn.skstoa.com/goods/896/57942896_c.jpg,https://www.skstoa.com/display/goods/57942896,주방,SK스토아,주방용품,[포트메리온]보타닉가든,마영호,N
2026-01-01,12:31~13:31,CATV,60,21.2,언더웨어,직매입,,,,휠라,[휠라](25FW)벨로아셋업,109000,109000,,55425142,https://imagecdn.skstoa.com/goods/142/55425142_c.jpg,https://www.skstoa.com/display/goods/55425142,언더웨어,SK스토아,언더웨어,[휠라](25FW)벨로아셋업,김소영,N
2026-01-01,12:31~13:31,IPTV,60,63.4,렌탈,정액,,,,메가스터디,[메가스터디]초중등교육서비스,0,0,,57738012,https://imagecdn.skstoa.com/goods/012/57738012_c.jpg,https://www.skstoa.com/display/goods/57738012,일반렌탈,SK스토아,렌탈,[메가스터디]초중등교육서비스,서두현,N
2026-01-01,13:31~14:31,전체,60,83.4,뷰티,위수탁,,,,블라우풍트,[블라우풍트]드라이기,89800,89800,,54216674,https://imagecdn.skstoa.com/goods/674/54216674_c.jpg,https://www.skstoa.com/display/goods/54216674,뷰티,SK스토아,뷰티,[블라우풍트]드라이기,임정우,N
2026-01-01,14:31~15:31,전체,60,83.4,주방가전,위수탁,,,,마이어,[마이어]생선그릴,119000,119000,,57035280,https://imagecdn.skstoa.com/goods/280/57035280_c.jpg,https://www.skstoa.com/display/goods/57035280,주방,SK스토아,주방가전,[마이어]생선그릴,권오석,N
2026-01-01,15:31~16:31,전체,60,84.6,건강식품,혼합수수료,,,,락토핏,[종근당건강]락토핏코어,129000,129000,,50511319,https://imagecdn.skstoa.com/goods/319/50511319_c.jpg,https://www.skstoa.com/display/goods/50511319,건강식품,SK스토아,건강식품,[종근당건강]락토핏코어,김덕주,N
2026-01-01,16:31~17:31,CATV,60,22.2,일반식품,위수탁,,,,삼육두유,[삼육]두유,54900,54900,,51384598,https://imagecdn.skstoa.com/goods/598/51384598_c.jpg,https://www.skstoa.com/display/goods/51384598,일반식품,SK스토아,일반식품,[삼육]두유,조은솔,N
2026-01-01,16:31~17:31,IPTV,60,66.6,일반식품,혼합수수료,,,,무엘올리바,[무엘올리바]올리브오일,74500,74500,,57899487,https://imagecdn.skstoa.com/goods/487/57899487_c.jpg,https://www.skstoa.com/display/goods/57899487,일반식품,SK스토아,일반식품,[무엘올리바]올리브오일,이자람,N
2026-01-01,17:31~18:31,전체,60,93.0,주방용품,혼합수수료,,,,프리파라,[프리파라]밀폐용기,149000,149000,,57823265,https://imagecdn.skstoa.com/goods/265/57823265_c.jpg,https://www.skstoa.com/display/goods/57823265,주방,SK스토아,주방용품,[프리파라]밀폐용기,권오석,N
2026-01-01,18:31~19:31,전체,60,94.8,캐쥬얼남성,위수탁,,,,CERINI by PAT,[CERINIBYPAT](25FW)패딩팬츠,89900,89900,,58030868,https://imagecdn.skstoa.com/goods/868/58030868_c.jpg,https://www.skstoa.com/display/goods/58030868,의류,SK스토아,캐쥬얼남성,[CERINIBYPAT](25FW)패딩팬츠,김동균,N
2026-01-01,19:31~20:31,전체,60,109.8,보험,정액,,,,DB손해보험,[DB손해보험]운전자보험,0,0,,57803606,https://imagecdn.skstoa.com/goods/606/57803606_c.jpg,https://www.skstoa.com/display/goods/57803606,보험,SK스토아,보험,[DB손해보험]운전자보험,송상수,N
2026-01-01,20:31~21:31,CATV,60,22.7,잡화,위수탁,,,,트래커,[트래커](25SS)마카롱캐리어,99000,99000,,51775866,https://imagecdn.skstoa.com/goods/866/51775866_c.jpg,https://www.skstoa.com/display/goods/51775866,잡화,SK스토아,잡화,[트래커](25SS)마카롱캐리어,조재형,N
2026-01-01,20:31~21:31,IPTV,60,90.7,언더웨어,혼합수수료,,,,라코스테,[라코스테](25FW)드로즈1차,89000,89000,,58172496,https://imagecdn.skstoa.com/goods/496/58172496_c.jpg,https://www.skstoa.com/display/goods/58172496,언더웨어,SK스토아,언더웨어,[라코스테](25FW)드로즈1차,하인호,N
2026-01-01,21:31~22:31,전체,60,116.4,생활가전,위수탁,,,,코지마,[코지마]가구형안마의자,1980000,1980000,,56678396,https://imagecdn.skstoa.com/goods/396/56678396_c.jpg,https://www.skstoa.com/display/goods/56678396,가전,SK스토아,생활가전,[코지마]가구형안마의자,김응도,N
2026-01-01,22:31~23:31,전체,60,99.6,레포츠,위수탁,,,,밀레 골프,[밀레골프](25FW)패딩팬츠,99000,99000,,57853199,https://imagecdn.skstoa.com/goods/199/57853199_c.jpg,https://www.skstoa.com/display/goods/57853199,레포츠,SK스토아,레포츠,[밀레골프](25FW)패딩팬츠,정호준,N
2026-01-01,23:31~00:31,전체,60,60.6,주방용품,위수탁,,,,에코센스 히트락,[히트락]밀폐용기,79800,79800,,55298995,https://imagecdn.skstoa.com/goods/995/55298995_c.jpg,https://www.skstoa.com/display/goods/55298995,주방,SK스토아,주방용품,[히트락]밀폐용기,마영호,N
2026-01-02,00:31~01:31,전체,60,28.8,건강식품,위수탁,,,,닥터루템,[닥터루템]알부민,369000,369000,,57984279,https://imagecdn.skstoa.com/goods/279/57984279_c.jpg,https://www.skstoa.com/display/goods/57984279,건강식품,SK스토아,건강식품,[닥터루템]알부민,이보영,N
2026-01-02,01:31~02:11,전체,40,0.4,언더웨어,직매입,,,,아디다스,[아디다스](25FW)동내의,99000,99000,,55788853,https://imagecdn.skstoa.com/goods/853/55788853_c.jpg,https://www.skstoa.com/display/goods/55788853,언더웨어,SK스토아,언더웨어,[아디다스](25FW)동내의,하인호,N
2026-01-02,02:11~02:51,전체,40,0.4,PB,직매입,,,,고욜,[고욜](24FW)메탈얀터틀넥,179000,179000,,42549913,https://imagecdn.skstoa.com/goods/913/42549913_c.jpg,https://www.skstoa.com/display/goods/42549913,의류,SK스토아,PB,[고욜](24FW)메탈얀터틀넥,박서우,N
2026-01-02,02:51~03:31,전체,40,0.4,생활용품,위수탁,,,,이지드롭,[이지드롭]변기클리너,49800,49800,,50474384,https://imagecdn.skstoa.com/goods/384/50474384_c.jpg,https://www.skstoa.com/display/goods/50474384,리빙,SK스토아,생활용품,[이지드롭]변기클리너,박정훈,N
2026-01-02,03:31~04:11,전체,40,0.4,언더웨어,직매입,,,,라렌느,[라렌느](24FW)바디수트,79900,79900,,45117523,https://imagecdn.skstoa.com/goods/523/45117523_c.jpg,https://www.skstoa.com/display/goods/45117523,언더웨어,SK스토아,언더웨어,[라렌느](24FW)바디수트,하인호,N
2026-01-02,04:11~04:51,전체,40,0.4,생활용품,위수탁,,,,지나송,[지나송]로얄방한암막커튼,219000,219000,,56641736,https://imagecdn.skstoa.com/goods/736/56641736_c.jpg,https://www.skstoa.com/display/goods/56641736,리빙,SK스토아,생활용품,[지나송]로얄방한암막커튼,박도희,N
2026-01-02,04:51~05:31,전체,40,0.4,PB,직매입,,,,헬렌카렌,[헬렌카렌](24FW)보아퍼팬츠,69900,69900,,41470935,https://imagecdn.skstoa.com/goods/935/41470935_c.jpg,https://www.skstoa.com/display/goods/41470935,의류,SK스토아,PB,[헬렌카렌](24FW)보아퍼팬츠,김인선,N
2026-01-02,05:31~06:31,전체,60,34.8,언더웨어,직매입,,,,아디다스,[아디다스](25FW)동내의,99000,99000,,55788853,https://imagecdn.skstoa.com/goods/853/55788853_c.jpg,https://www.skstoa.com/display/goods/55788853,언더웨어,SK스토아,언더웨어,[아디다스](25FW)동내의,하인호,N
2026-01-02,06:31~07:31,전체,60,65.4,생활용품,위수탁,,,,아토만,[아토만]온열마사지벨트,79800,79800,,54982215,https://imagecdn.skstoa.com/goods/215/54982215_c.jpg,https://www.skstoa.com/display/goods/54982215,리빙,SK스토아,생활용품,[아토만]온열마사지벨트,정태영,N
2026-01-02,07:31~08:31,전체,60,66.6,뷰티,위수탁,,,,헤드스파7,[헤드스파]헤어스타일러,99000,99000,,49354834,https://imagecdn.skstoa.com/goods/834/49354834_c.jpg,https://www.skstoa.com/display/goods/49354834,뷰티,SK스토아,뷰티,[헤드스파]헤어스타일러,임정우,N
2026-01-02,08:31~09:31,전체,60,72.6,건강식품,위수탁,,,,RODZINA,[RODZINA]오한진백세알부민,258000,258000,,57330755,https://imagecdn.skstoa.com/goods/755/57330755_c.jpg,https://www.skstoa.com/display/goods/57330755,건강식품,SK스토아,건강식품,[RODZINA]오한진백세알부민,강병훈,N
2026-01-02,09:31~10:31,CATV,60,17.1,여성의류,위수탁,,,,NnF,[NnF](24FW)코듀로이팬츠,49900,49900,,41893943,https://imagecdn.skstoa.com/goods/943/41893943_c.jpg,https://www.skstoa.com/display/goods/41893943,의류,SK스토아,여성의류,[NnF](24FW)코듀로이팬츠,김인선,N
2026-01-02,09:31~10:31,IPTV,60,51.3,캐쥬얼남성,위수탁,,,,펠틱스,[펠틱스](25FW)패딩셋업,59900,59900,,53030025,https://imagecdn.skstoa.com/goods/025/53030025_c.jpg,https://www.skstoa.com/display/goods/53030025,의류,SK스토아,캐쥬얼남성,[펠틱스](25FW)패딩셋업,이린,N
2026-01-02,10:31~11:31,CATV,60,15.6,언더웨어,직매입,,,,라렌느,[라렌느](24FW)티셔츠,39900,39900,,55235589,https://imagecdn.skstoa.com/goods/589/55235589_c.jpg,https://www.skstoa.com/display/goods/55235589,언더웨어,SK스토아,언더웨어,[라렌느](24FW)티셔츠,하인호,N
2026-01-02,10:31~11:31,IPTV,60,46.8,여성의류,위수탁,,,,앤클라인,[앤클라인](25FW)구스다운,129000,129000,,54193291,https://imagecdn.skstoa.com/goods/291/54193291_c.jpg,https://www.skstoa.com/display/goods/54193291,의류,SK스토아,여성의류,[앤클라인](25FW)구스다운,박서우,N
2026-01-02,11:31~12:31,전체,60,52.8,건강식품,혼합수수료,,,,락토핏,[종근당건강]락토핏코어,129000,129000,,50511319,https://imagecdn.skstoa.com/goods/319/50511319_c.jpg,https://www.skstoa.com/display/goods/50511319,건강식품,SK스토아,건강식품,[종근당건강]락토핏코어,김덕주,N
2026-01-02,12:31~13:31,전체,60,51.0,레포츠,위수탁,,,,레드캠프,[레드캠프](24FW)패딩팬츠,59900,59900,,56086272,https://imagecdn.skstoa.com/goods/272/56086272_c.jpg,https://www.skstoa.com/display/goods/56086272,레포츠,SK스토아,레포츠,[레드캠프](24FW)패딩팬츠,이수민,N
2026-01-02,13:31~14:31,CATV,60,12.3,대형가전,특약매입,,,,삼성전자,[삼성전자]공기청정기,538000,538000,,55794345,https://imagecdn.skstoa.com/goods/345/55794345_c.jpg,https://www.skstoa.com/display/goods/55794345,가전,SK스토아,대형가전,[삼성전자]공기청정기,백혜정,N
2026-01-02,13:31~14:31,IPTV,60,36.9,주방가전,위수탁,,,,에버홈,[에버홈]생선구이기,129000,129000,,57184637,https://imagecdn.skstoa.com/goods/637/57184637_c.jpg,https://www.skstoa.com/display/goods/57184637,주방,SK스토아,주방가전,[에버홈]생선구이기,권오석,N
2026-01-02,14:31~15:31,CATV,60,12.6,생활가전,위수탁,,,,(주)한경희생활과학,[한경희]스팀청소기,109000,109000,,53096804,https://imagecdn.skstoa.com/goods/804/53096804_c.jpg,https://www.skstoa.com/display/goods/53096804,가전,SK스토아,생활가전,[한경희]스팀청소기,임동진,N
2026-01-02,14:31~15:31,IPTV,60,37.8,주방가전,위수탁,,,,쿠쿠,[쿠쿠]메탈릭에코밥솥,508000,508000,,57151274,https://imagecdn.skstoa.com/goods/274/57151274_c.jpg,https://www.skstoa.com/display/goods/57151274,주방,SK스토아,주방가전,[쿠쿠]메탈릭에코밥솥,마영호,N
2026-01-02,15:31~16:31,전체,60,56.4,생활용품,위수탁,,,,스칸네이처,[스칸네이처]셀룰로오스행주,89000,89000,,57556229,https://imagecdn.skstoa.com/goods/229/57556229_c.jpg,https://www.skstoa.com/display/goods/57556229,리빙,SK스토아,생활용품,[스칸네이처]셀룰로오스행주,박정훈,N
2026-01-02,16:31~17:31,전체,60,58.2,뷰티,위수탁,,,,보스티나,[보스티나]염색제,79900,79900,,50995845,https://imagecdn.skstoa.com/goods/845/50995845_c.jpg,https://www.skstoa.com/display/goods/50995845,뷰티,SK스토아,뷰티,[보스티나]염색제,최윤수,N
2026-01-02,17:31~18:31,전체,60,58.8,뷰티,혼합수수료,,,,엘지생활건강,[보닌]남성기초세트,60000,60000,,56206062,https://imagecdn.skstoa.com/goods/062/56206062_c.jpg,https://www.skstoa.com/display/goods/56206062,뷰티,SK스토아,뷰티,[보닌]남성기초세트,김은정,N
2026-01-02,18:31~19:31,CATV,60,14.8,일반식품,위수탁,,,,이종임 ,[이종임]도가니탕,59900,59900,,44124491,https://imagecdn.skstoa.com/goods/491/44124491_c.jpg,https://www.skstoa.com/display/goods/44124491,일반식품,SK스토아,일반식품,[이종임]도가니탕,조은솔,N
2026-01-02,18:31~19:31,IPTV,60,44.6,여행,정률,,,,하나투어,[하나투어]북해도,0,0,,58090402,https://imagecdn.skstoa.com/goods/402/58090402_c.jpg,https://www.skstoa.com/display/goods/58090402,여행,SK스토아,여행,[하나투어]북해도,서두현,N
