방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류,회사,MD분류원본,편성구분명,MD명,비상품여부
2024-01-01,00:41~01:41,IPTV,60,25.2,생활용품,위수탁,,,,지나송,[지나송]암막커튼,179000,179000,,35672784,,https://www.skstoa.com/display/goods/35672784,리빙,SK스토아,생활용품,[지나송]암막커튼,박도희,N
2024-01-01,00:41~01:41,CATV,60,16.8,레포츠,위수탁,,,,월드컵,[월드컵](23FW)패딩슬립온,35900,35900,,36518716,,https://www.skstoa.com/display/goods/36518716,레포츠,SK스토아,레포츠,[월드컵](23FW)패딩슬립온,이수민,N
2024-01-01,01:41~02:21,전체,40,10.8,뷰티,위수탁,,,,티나툴스,[티나툴스]아이래쉬,69900,69900,,34475079,,https://www.skstoa.com/display/goods/34475079,뷰티,SK스토아,뷰티,[티나툴스]아이래쉬,전지현,N
2024-01-01,02:21~03:01,전체,40,7.8,생활용품,위수탁,,,,YJM 허리조아,[허리조아]무선찜질마사지벨트,139000,139000,,36888223,,https://www.skstoa.com/display/goods/36888223,리빙,SK스토아,생활용품,[허리조아]무선찜질마사지벨트,김수영,N
2024-01-01,03:01~03:41,전체,40,4.8,뷰티,위수탁,,,,헤드스파7,[헤드스파]헤어컬러,79900,79900,,35610056,,https://www.skstoa.com/display/goods/35610056,뷰티,SK스토아,뷰티,[헤드스파]헤어컬러,임정우,N
2024-01-01,03:41~04:21,전체,40,0.4,언더웨어,직매입,,,,프로스펙스,[프로스펙스]수면이지웨어(22FW),59900,59900,,36389149,,https://www.skstoa.com/display/goods/36389149,언더웨어,SK스토아,언더웨어,[프로스펙스]수면이지웨어(22FW),김소영,N
2024-01-01,04:21~04:41,전체,20,0.2,건강식품,위수탁,,,,서울우유,[서울우유]초유탄탄프로틴,256000,256000,,32798436,,https://www.skstoa.com/display/goods/32798436,건강식품,SK스토아,건강식품,[서울우유]초유탄탄프로틴,강병훈,N
2024-01-01,04:41~05:41,전체,60,16.8,뷰티,위수탁,,,,지엘리,[지엘리]77베리어크림,89000,89000,,36082217,,https://www.skstoa.com/display/goods/36082217,뷰티,SK스토아,뷰티,[지엘리]77베리어크림,김선우,N
2024-01-01,05:41~06:41,IPTV,60,26.3,언더웨어,직매입,,,,프로스펙스,[프로스펙스](23FW)플리스셋업,79900,79900,,36630097,,https://www.skstoa.com/display/goods/36630097,언더웨어,SK스토아,언더웨어,[프로스펙스](23FW)플리스셋업,김소영,N
2024-01-01,05:41~06:41,CATV,60,17.5,언더웨어,위수탁,,,,벨라폰테,[벨라폰테]란쥬(22FW),39900,39900,,36228812,,https://www.skstoa.com/display/goods/36228812,언더웨어,SK스토아,언더웨어,[벨라폰테]란쥬(22FW),김소영,N
2024-01-01,06:41~07:41,전체,60,73.2,레포츠,위수탁,,,,로젠토,[로젠토](23FW)패딩트레킹화,29800,29800,,36595562,,https://www.skstoa.com/display/goods/36595562,레포츠,SK스토아,레포츠,[로젠토](23FW)패딩트레킹화,정호준,N
2024-01-01,07:41~08:41,전체,60,100.2,건강식품,혼합수수료,,,,씨제이웰케어,[CJ제일제당]전립소쏘팔메토스페셜,238000,238000,,36529377,,https://www.skstoa.com/display/goods/36529377,건강식품,SK스토아,건강식품,[CJ제일제당]전립소쏘팔메토스페셜,강병훈,N
2024-01-01,08:41~09:41,전체,60,100.2,뷰티,혼합수수료,,,,닥터큐먼,[닥터큐먼]콜라겐크림막팩,198000,198000,,36664679,,https://www.skstoa.com/display/goods/36664679,뷰티,SK스토아,뷰티,[닥터큐먼]콜라겐크림막팩,전지현,N
