방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류
2025-01-01,00:37~01:58,전체,81,57,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,닥터린,"(방송에서만 6박스 더) 닥터린 식물성 멜라토닌 함유  멜라바인 12+6, 18개월분",299000,299000,카드 5%,20060548,https://img.shinsegaetvshopping.com/goods/548/20060548_s_20241111132547.jpg,https://www.shinsegaetvshopping.com/display/detail/20060548,건강식품
2025-01-01,01:58~02:38,전체,40,5,패션,여성의류,상의,티셔츠,긴팔,에디션S,[파격초특가]에디션S 기모 터틀 5종,47410,47410,,20060739,https://img.shinsegaetvshopping.com/goods/739/20060739_s_20241126095720.jpg,https://www.shinsegaetvshopping.com/display/detail/20060739,PB
2025-01-01,03:39~03:59,전체,20,3,가공식품,건강식품,건강기능식품,건강기능식품,유산균,에치와이 _ 엠프로윌,[상시]위에는 윌 위건강 유산균 / 엠프로 프로바이오틱스 윌+ 6박스 (6개월분),278000,278000,카드 5%,20058814,https://img.shinsegaetvshopping.com/goods/814/20058814_s_20240902163208.jpg,https://www.shinsegaetvshopping.com/display/detail/20058814,건강식품
2025-01-01,03:59~04:19,전체,20,3,패션,레포츠의류,스포츠의류,상의,티셔츠,르까프,(이월초특가) 르까프 남성 에브리데이 티셔츠 6종,59900,59900,,20052685,https://img.shinsegaetvshopping.com/goods/685/20052685_s_20240226094210.jpg,https://www.shinsegaetvshopping.com/display/detail/20052685,레포츠
2025-01-01,04:19~04:30,전체,11,3,신선식품,농산물,과일류,사과,사과,달코롬,[1/31부터  순차적배송][맛보증제]경북 시나노골드 사과 2.5kg(9-12과) X 2박스(과당 215g-280g내외),47900,47900,,20060833,https://img.shinsegaetvshopping.com/goods/833/20060833_s_20241010110910.jpg,https://www.shinsegaetvshopping.com/display/detail/20060833,일반식품
2025-01-01,04:30~05:30,전체,60,4,뷰티,기초화장품,기초케어,세트,기초세트,끌레드벨,"[방송중] 끌레드벨 최신상 콜라겐리프팅 기초세트 매니아구성 (스킨4,로션4,크림4,아이크림3 총15종)",118000,118000,,20061051,https://img.shinsegaetvshopping.com/goods/051/20061051_l_20241121100156.jpg,https://www.shinsegaetvshopping.com/display/detail/20061051,뷰티
2025-01-01,05:30~06:30,전체,60,58,패션,여성의류,상의,티셔츠,폴라/터틀넥,브이컷,"[런칭가59,900→2만원↓] 브이컷  기모 티블라우스 5종",35910,35910,,20059260,https://img.shinsegaetvshopping.com/goods/260/20059260_s_20241011151253.jpg,https://www.shinsegaetvshopping.com/display/detail/20059260,여성의류
2025-01-01,06:30~07:31,전체,61,96,패션,여성의류,하의,팬츠,캐주얼팬츠,에디션S,[24FW]에디션S  코듀 팬츠 2종,49900,49900,,20060497,https://img.shinsegaetvshopping.com/goods/497/20060497_s_20241101170343.jpg,https://www.shinsegaetvshopping.com/display/detail/20060497,PB
2025-01-01,07:31~08:31,전체,60,98,뷰티,기초화장품,마스크/팩,패치/코팩,기타 패치,아크로패스,"[기본 / 총3,360샷] 아크로패스 레티놀 마이크로콘 패치 (7박스)",129000,129000,카드 5%,20060960,https://img.shinsegaetvshopping.com/goods/960/20060960_s_20241119104515.jpg,https://www.shinsegaetvshopping.com/display/detail/20060960,뷰티
2025-01-01,08:31~09:32,전체,61,136,뷰티,기초화장품,기초케어,크림/젤,크림,마미케어,[방송에서만 / 기본] 마미케어 율무영양크림 기본세트 (크림 50g*4개),59900,59900,카드 5%,20061387,https://img.shinsegaetvshopping.com/goods/387/20061387_s_20250731144301.jpg,https://www.shinsegaetvshopping.com/display/detail/20061387,뷰티
2025-01-01,09:32~10:32,전체,60,131,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,여에스더_맥주효모,"(방송에서만 18박스) 여에스더 맥주효모 비오틴 울트라 케어 5200 MAX (5.2g x 14포 x 18박스, 36주분)",189000,189000,,20059814,https://img.shinsegaetvshopping.com/goods/814/20059814_s_20241010105340.jpg,https://www.shinsegaetvshopping.com/display/detail/20059814,건강식품
2025-01-01,10:32~11:32,전체,60,129,뷰티,색조화장품,베이스메이크업,쿠션/팩트/파우더,쿠션팩트,이자녹스,[방송초특가]이자녹스 듀얼커버 쿠션 4개용량 (본품2+리필2+퍼프3),39000,39000,,20057813,https://img.shinsegaetvshopping.com/goods/813/20057813_s_20240717140352.jpg,https://www.shinsegaetvshopping.com/display/detail/20057813,뷰티
2025-01-01,12:33~13:33,전체,60,94,뷰티,기초화장품,기초케어,넥케어,넥크림,CKD,최신상 [종근당건강] CKD 괄사 목주름 크림 필톡샷 총 6개 (본품 3 + 리필 3) 단독 패키지,99900,99900,,20061850,https://img.shinsegaetvshopping.com/goods/850/20061850_s_20241014182651.jpg,https://www.shinsegaetvshopping.com/display/detail/20061850,뷰티
2025-01-01,13:33~14:33,전체,60,94,가공식품,냉동식품,냉동가공식품,냉동스테이크/떡갈비/섭산적,냉동갈비,조선호텔,조선호텔 양념 LA갈비 400g X 8팩,119900,119900,카드 5%,20060824,https://img.shinsegaetvshopping.com/goods/824/20060824_s_20250401104842.jpg,https://www.shinsegaetvshopping.com/display/detail/20060824,일반식품
2025-01-01,15:34~16:34,전체,60,71,뷰티,기초화장품,기초케어,에센스/세럼/앰플,앰플,성분에디터,[앰플집중구성] 성분에디터 녹는실 리프팅 앰플 세트 (앰플60ml*6+어플리케이터 6개),104900,104900,카드 5%,20059529,https://img.shinsegaetvshopping.com/goods/529/20059529_l_20240930140452.jpg,https://www.shinsegaetvshopping.com/display/detail/20059529,뷰티
2025-01-01,16:34~17:34,전체,60,76,가공식품,즉석/편의식품,즉석/조리식품,즉석국/탕/찌개류,기타 즉석국/탕/찌개류,정성곳간,[방송에서만] 정성곳간 강순의 한우 스지 도가니탕 700g x 9팩,59900,59900,카드 5%,20058239,https://img.shinsegaetvshopping.com/goods/239/20058239_s_20240812085229.jpg,https://www.shinsegaetvshopping.com/display/detail/20058239,일반식품
2025-01-01,17:34~18:35,전체,61,83,가공식품,냉동식품,냉동가공식품,냉동스테이크/떡갈비/섭산적,냉동갈비,조선호텔,조선호텔 양념 소갈비 수제 포갈비 600g X 6팩(3.6kg),149900,149900,카드 5%,20061088,https://img.shinsegaetvshopping.com/goods/088/20061088_s_20250401110541.jpg,https://www.shinsegaetvshopping.com/display/detail/20061088,일반식품
2025-01-01,18:35~19:35,전체,60,115,패션,남성캐쥬얼,하의,캐쥬얼팬츠,본딩팬츠,펠틱스,★올겨울 필수템!★24FW 펠틱스 오리털 패딩팬츠 2종 (남여 공용),69900,69900,,20059838,https://img.shinsegaetvshopping.com/goods/838/20059838_l_20241018100153.jpg,https://www.shinsegaetvshopping.com/display/detail/20059838,캐쥬얼남성
2025-01-01,19:35~20:35,전체,60,132,패션,여성의류,특종,무스탕,미디엄,블루핏,(XX) 블루핏X로보 스페인 라도마 리버시블 하프 무스탕,1290000,1290000,,20060660,https://img.shinsegaetvshopping.com/goods/660/20060660_s_20241111084001.jpg,https://www.shinsegaetvshopping.com/display/detail/20060660,PB
2025-01-01,20:35~21:36,전체,61,145,가공식품,냉동식품,냉동가공식품,냉동스테이크/떡갈비/섭산적,냉동갈비,조선호텔,조선호텔 양념 LA갈비 400g X 8팩,119900,119900,카드 5%,20060824,https://img.shinsegaetvshopping.com/goods/824/20060824_s_20250401104842.jpg,https://www.shinsegaetvshopping.com/display/detail/20060824,일반식품
2025-01-01,21:36~22:36,IPTV,60,101,패션,여성의류,아우터,점퍼,다운/패딩,리가,24FW 리가 풀스킨 밍크 폭스 콤비 구스다운 (벨트 추가),498000,498000,,20059755,https://img.shinsegaetvshopping.com/goods/755/20059755_s_20241219151159.jpg,https://www.shinsegaetvshopping.com/display/detail/20059755,여성의류
2025-01-01,21:36~22:36,CATV,60,44,패션,레포츠의류,골프의류,아우터,다운/패딩,밀레골프,[기획특가] 밀레골프 남성 미라클 스윙 구스다운,119000,119000,카드 5%,20060412,https://img.shinsegaetvshopping.com/goods/412/20060412_s_20241029160454.jpg,https://www.shinsegaetvshopping.com/display/detail/20060412,레포츠
2025-01-01,22:36~23:37,전체,61,125,패션잡화,시계/쥬얼리,쥬얼리,여성패션쥬얼리,목걸이,아르디아,(방송중에만 이가격) ARDIA 아르디아 18K 럭키 스톤 목걸이,489000,489000,,20061649,https://img.shinsegaetvshopping.com/goods/649/20061649_s_20241218175122.jpg,https://www.shinsegaetvshopping.com/display/detail/20061649,잡화
2025-01-01,23:37~00:37,전체,60,86,패션잡화,잡화,핸드백/가방,여성핸드백/가방,토트백,베네통,베네통 패디드토트백(3way),89000,89000,,20061046,https://img.shinsegaetvshopping.com/goods/046/20061046_s_20241120203250.jpg,https://www.shinsegaetvshopping.com/display/detail/20061046,잡화
2025-01-02,00:37~01:18,전체,41,34,뷰티,색조화장품,베이스메이크업,파운데이션,트윈케이크,컬러딥,[최신상] 컬러딥 찐커버 크림 커버 팩트 세트 (팩트2 + 리필2+포토상품평 레디백),49900,49900,,20060525,https://img.shinsegaetvshopping.com/goods/525/20060525_s_20241029163316.jpg,https://www.shinsegaetvshopping.com/display/detail/20060525,뷰티
2025-01-02,01:18~02:38,전체,80,8,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,여에스더 글루타치온,(최다구성) 여에스더 리포좀 글루타치온  울트라X 12+1박스 (325mg*30매*13박스),374000,374000,,20061663,https://img.shinsegaetvshopping.com/goods/663/20061663_s_20241219112717.jpg,https://www.shinsegaetvshopping.com/display/detail/20061663,건강식품
2025-01-02,03:39~03:59,전체,20,3,가공식품,건강식품,건강기능식품,건강기능식품,기타 다이어트 건강기능식품,종근당_락토핏슬림,[더블/8개월분](순)종근당건강 생유산균 락토핏 다이어트(60포X8통),378000,378000,,20053521,https://img.shinsegaetvshopping.com/goods/521/20053521_s_20240215160938.jpg,https://www.shinsegaetvshopping.com/display/detail/20053521,건강식품
2025-01-02,03:59~04:19,전체,20,3,패션,여성의류,아우터,재킷,캐쥬얼,앳클로젯,앳클로젯  하트 퀼팅 자켓 (24겨울),39000,39000,,20059601,https://img.shinsegaetvshopping.com/goods/601/20059601_s_20241011180720.jpg,https://www.shinsegaetvshopping.com/display/detail/20059601,여성의류
2025-01-02,04:19~04:30,전체,11,3,신선식품,농산물,채소류,고구마,호박고구마,자연마루,(10분)안면도 호박고구마 특상(100-300g) 3.5kg x 2박스,29900,29900,,20060910,https://img.shinsegaetvshopping.com/goods/910/20060910_l_20241028090243.jpg,https://www.shinsegaetvshopping.com/display/detail/20060910,일반식품
2025-01-02,04:30~05:30,전체,60,5,패션,여성의류,하의,스커트,A라인/플레어,에디션S,[24FW]에디션S 패딩 스커트,49900,49900,,20060810,https://img.shinsegaetvshopping.com/goods/810/20060810_s_20241112173502.jpeg,https://www.shinsegaetvshopping.com/display/detail/20060810,PB
2025-01-02,05:30~06:30,IPTV,60,35,패션,레포츠의류,골프의류,상의,티셔츠,휠라,FILA(휠라) 여성 24FW 옵티마 웜 카라티 3종,109000,109000,카드 5%,20058743,https://img.shinsegaetvshopping.com/goods/743/20058743_s_20240830111521.JPG,https://www.shinsegaetvshopping.com/display/detail/20058743,레포츠
