방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류
2024-01-01,00:27~01:27,IPTV,60,20,패션,레포츠의류,스포츠의류,하의,팬츠,닉스,닉스(NIX) 리버서블 다운 팬츠_미판매,69000,69000,,20050695,https://img.shinsegaetvshopping.com/goods/695/20050695_s_20231027164823.jpg,https://www.shinsegaetvshopping.com/display/detail/20050695,레포츠
2024-01-01,00:27~01:27,CATV,60,10,가전/디지털,생활가전,소형 냉난방가전,난방기기,온풍기,파비스,(방송에서만 1만원할인) 파비스 다기능 인버터 욕실히터 EL-20R_미판매,119000,119000,,20050861,https://img.shinsegaetvshopping.com/goods/861/20050861_s_20240105174641.jpg,https://www.shinsegaetvshopping.com/display/detail/20050861,생활가전
2024-01-01,01:27~02:28,전체,61,20,신선식품,농산물,견과류,혼합견과류,혼합견과/믹스넛,베네팜,(유통기한 임박 특가) 베네팜 프리미엄 에브리데이 프레시 견과 3박스 (총 60봉)(직),39900,39900,,20044328,https://img.shinsegaetvshopping.com/goods/328/20044328_s_20230420155113.jpg,https://www.shinsegaetvshopping.com/display/detail/20044328,일반식품
2024-01-01,02:28~02:38,전체,10,5,가공식품,빵류/떡류,빵류,조리빵,기타 조리빵,쉐프스토리,[신세계단독] 쉐프스토리 우양 핫도그 22봉 (크리스피12봉+치즈10봉),29900,29900,,20045062,https://img.shinsegaetvshopping.com/goods/062/20045062_s_20230620141603.jpg,https://www.shinsegaetvshopping.com/display/detail/20045062,일반식품
2024-01-01,02:38~03:39,전체,61,16,패션잡화,시계/쥬얼리,쥬얼리,여성패션쥬얼리,목걸이,루체오르,(방송중30만원세일)루체오르 24K 로열볼륨 목걸이(18.75g)+순금골드바+천연루비 목걸이_미판매,3140000,3140000,,20049820,https://img.shinsegaetvshopping.com/goods/820/20049820_s_20231004130254.jpg,https://www.shinsegaetvshopping.com/display/detail/20049820,잡화
2024-01-01,03:39~03:59,전체,20,5,가공식품,건강식품,천연건강식품,자연식품,기타 자연식품,여왕 로얄젤리,(종료)여왕 로얄젤리 분말 동결건조 25g x 6통 _미판매,198000,198000,,20047940,https://img.shinsegaetvshopping.com/goods/940/20047940_l_20230731101154.jpg,https://www.shinsegaetvshopping.com/display/detail/20047940,건강식품
2024-01-01,03:59~04:19,전체,20,5,가공식품,건강식품,건강기능식품,건강기능식품,오메가3,뉴트리원_오메가,[뉴트리원] 장용성 초임계 알티지 오메가3 (30캡슐 x 10박스(10개월분))_미판매,197000,197000,,20051225,https://img.shinsegaetvshopping.com/goods/225/20051225_s_20231122134552.jpg,https://www.shinsegaetvshopping.com/display/detail/20051225,건강식품
2024-01-01,04:19~04:30,전체,11,6,가공식품,빵류/떡류,빵류,조리빵,기타 조리빵,쉐프스토리,[신세계단독] 쉐프스토리 우양 핫도그 22봉 (크리스피12봉+치즈10봉),29900,29900,,20045062,https://img.shinsegaetvshopping.com/goods/062/20045062_s_20230620141603.jpg,https://www.shinsegaetvshopping.com/display/detail/20045062,일반식품
2024-01-01,04:30~05:30,전체,60,16,패션,레포츠의류,스포츠의류,상의,티셔츠,르까프,(모바일) 르까프 남성 더블기모 소프트 모크넥 6종,59000,59000,카드 5%,20049424,https://img.shinsegaetvshopping.com/goods/424/20049424_s_20230921081927.jpg,https://www.shinsegaetvshopping.com/display/detail/20049424,레포츠
2024-01-01,05:30~06:30,전체,60,30,패션,여성의류,아우터,점퍼,다운/패딩,지베르니,지베르니 소로나 패딩 점퍼(23FW),59900,59900,카드 5%,20051479,https://img.shinsegaetvshopping.com/goods/479/20051479_s_20231125084943.jpg,https://www.shinsegaetvshopping.com/display/detail/20051479,여성의류
