방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류
2026-01-01,15:34~16:34,전체,60,93,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,여에스더 글루타치온,(본품 최다) 여에스더 리포좀 글루타치온 울트라9X 13박스 + 마스크팩 1박스,374000,374000,카드 5%,20070254,https://img.shinsegaetvshopping.com/goods/254/20070254_l_20251201104206.jpg,https://www.shinsegaetvshopping.com/display/detail/20070254,건강식품
2026-01-01,16:34~17:34,전체,60,73,신선식품,농산물,채소류,고구마,호박고구마,자연마루,안면도 호박고구마 4kg * 2박스 (개당 100-300g내외) / 총 8kg,29900,29900,,20069505,https://img.shinsegaetvshopping.com/goods/505/20069505_s_20251222145230.jpg,https://www.shinsegaetvshopping.com/display/detail/20069505,일반식품
2026-01-01,17:34~18:35,전체,61,104,뷰티,기초화장품,마스크/팩,마스크,겔마스크팩,리브이셀,[조윤주 패키지][35회 관리] 리브이셀 콜라겐 투명 랩핑 마스크 30g x 총 35매 (총 7박스) 최저가 패키지,139000,139000,카드 5%,20058024,https://img.shinsegaetvshopping.com/goods/024/20058024_s_20240801093621.jpg,https://www.shinsegaetvshopping.com/display/detail/20058024,뷰티
2026-01-01,18:35~19:35,IPTV,60,73,무형서비스,여행/예약서비스,여행(상담),국내,국내,위드투어,[*위드투어]얼리버드! 울릉도/독도 포항출발 대형크루즈 3박4일 패키지,0,0,,20070427,https://img.shinsegaetvshopping.com/goods/427/20070427_l_20251222105624.jpg,https://www.shinsegaetvshopping.com/display/detail/20070427,여행
2026-01-01,18:35~19:35,CATV,60,31,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,뉴케어_당플랜,(방송에서만) 뉴케어 당플랜 코어 144팩 + 당플랜 안심바 36개,263000,263000,카드 5%,20068473,https://img.shinsegaetvshopping.com/goods/473/20068473_s_20250825150425.jpg,https://www.shinsegaetvshopping.com/display/detail/20068473,건강식품
2026-01-01,19:35~20:35,전체,60,120,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,오한진 알부민,(방송에서만 2박스 더!)[오한진 알부민] 프리미엄 백세 알부민 2+2박스 (총 120병),258000,258000,카드 5%,20070082,https://img.shinsegaetvshopping.com/goods/082/20070082_s_20251230135313.jpg,https://www.shinsegaetvshopping.com/display/detail/20070082,건강식품
2026-01-01,20:35~21:36,전체,61,101,무형서비스,보험금융,보험,치아보험,치아보험,라이나생명과 라이나원,"20069287 라이나 더 건강한 치아보험(1105,김)",0,0,,20069287,https://img.shinsegaetvshopping.com/goods/287/20069287_l_20240529135447.jpg,https://www.shinsegaetvshopping.com/display/detail/20069287,보험
2026-01-01,21:36~22:36,전체,60,127,가구/인테리어,침구단품,베개/베개커버/베개솜,베개,메모리폼,가누다,(단독/방송에서만) 가누다 블루라벨 피아노 베개 세트 (베개2개+머리냅+추가 애쉬그레이 겉커버 1장+추가 화이트 겉커버 1장),288000,288000,,20070153,https://img.shinsegaetvshopping.com/goods/153/20070153_s_20230310133622.jpg,https://www.shinsegaetvshopping.com/display/detail/20070153,침구
2026-01-01,22:36~23:37,IPTV,61,78,패션잡화,언더웨어,남성,팬티,드로즈(사각),게스언더웨어,[신세계단독] 게스(GUESS) 홀리데이 드로즈 8종+ 티셔츠1종 패키지,88000,88000,카드 5%,20069152,https://img.shinsegaetvshopping.com/goods/152/20069152_s_20251113155804.jpg,https://www.shinsegaetvshopping.com/display/detail/20069152,언더웨어
2026-01-01,22:36~23:37,CATV,61,34,가공식품,건강식품,천연건강식품,자연식품,기타 자연식품,미녀의석류콜라겐,미녀의 석류 콜라겐 200포 (25g x 25포 x 8Box)(직2),241000,241000,,20062613,https://img.shinsegaetvshopping.com/goods/613/20062613_l_20240221143952.jpg,https://www.shinsegaetvshopping.com/display/detail/20062613,건강식품
