date,hour,weight
2026-06-01,0,0.44
2026-06-01,1,0.01
2026-06-01,2,0.01
2026-06-01,3,0.01
2026-06-01,4,0.01
2026-06-01,5,0.57
2026-06-01,6,1.01
2026-06-01,7,1.04
2026-06-01,8,1.11
2026-06-01,9,1.03
2026-06-01,10,0.93
2026-06-01,11,0.86
2026-06-01,12,0.83
2026-06-01,13,0.82
2026-06-01,14,0.82
2026-06-01,15,0.9
2026-06-01,16,0.93
2026-06-01,17,1
2026-06-01,18,1.04
2026-06-01,19,1.57
2026-06-01,20,1.83
2026-06-01,21,1.75
2026-06-01,22,1.29
2026-06-01,23,0.97
2026-06-02,0,0.46
2026-06-02,1,0.01
2026-06-02,2,0.01
2026-06-02,3,0.01
2026-06-02,4,0.01
2026-06-02,5,0.62
2026-06-02,6,1.07
2026-06-02,7,1.11
2026-06-02,8,1.17
2026-06-02,9,1.08
2026-06-02,10,0.98
2026-06-02,11,0.87
2026-06-02,12,0.87
2026-06-02,13,0.86
2026-06-02,14,0.87
2026-06-02,15,0.98
2026-06-02,16,1.04
2026-06-02,17,1.06
2026-06-02,18,1.1
2026-06-02,19,1.66
2026-06-02,20,1.98
2026-06-02,21,1.91
2026-06-02,22,1.2
2026-06-02,23,0.95
2026-06-03,0,0.56
2026-06-03,1,0.01
2026-06-03,2,0.01
2026-06-03,3,0.01
2026-06-03,4,0.01
2026-06-03,5,0.68
2026-06-03,6,1.22
2026-06-03,7,1.43
2026-06-03,8,1.48
2026-06-03,9,1.46
2026-06-03,10,1.38
2026-06-03,11,1.35
2026-06-03,12,1.29
2026-06-03,13,1.25
2026-06-03,14,1.27
2026-06-03,15,1.31
2026-06-03,16,1.35
2026-06-03,17,1.44
2026-06-03,18,1.57
2026-06-03,19,1.83
2026-06-03,20,2
2026-06-03,21,1.96
2026-06-03,22,1.72
2026-06-03,23,1.06
2026-06-04,0,0.48
2026-06-04,1,0.01
2026-06-04,2,0.01
2026-06-04,3,0.01
2026-06-04,4,0.01
2026-06-04,5,0.62
2026-06-04,6,1.1
2026-06-04,7,1.13
2026-06-04,8,1.19
2026-06-04,9,1.12
2026-06-04,10,1
2026-06-04,11,0.9
2026-06-04,12,0.88
2026-06-04,13,0.9
2026-06-04,14,0.9
2026-06-04,15,1
2026-06-04,16,1.05
2026-06-04,17,1.07
2026-06-04,18,1.1
2026-06-04,19,1.68
2026-06-04,20,1.98
2026-06-04,21,1.91
2026-06-04,22,1.09
2026-06-04,23,0.92
2026-06-05,0,0.46
2026-06-05,1,0.01
2026-06-05,2,0.01
2026-06-05,3,0.01
2026-06-05,4,0.01
2026-06-05,5,0.6
2026-06-05,6,1.09
2026-06-05,7,1.12
2026-06-05,8,1.17
2026-06-05,9,1.11
2026-06-05,10,0.99
2026-06-05,11,0.87
2026-06-05,12,0.85
2026-06-05,13,0.84
2026-06-05,14,0.87
2026-06-05,15,0.98
2026-06-05,16,1
2026-06-05,17,1.05
2026-06-05,18,1.09
2026-06-05,19,1.65
2026-06-05,20,1.91
2026-06-05,21,1.87
2026-06-05,22,1.39
2026-06-05,23,1
2026-06-06,0,0.56
2026-06-06,1,0.01
2026-06-06,2,0.01
2026-06-06,3,0.01
2026-06-06,4,0.01
2026-06-06,5,0.68
2026-06-06,6,1.22
2026-06-06,7,1.75
2026-06-06,8,1.8
2026-06-06,9,1.78
2026-06-06,10,1.7
2026-06-06,11,1.39
2026-06-06,12,1.29
2026-06-06,13,1.25
2026-06-06,14,1.27
2026-06-06,15,1.31
2026-06-06,16,1.35
2026-06-06,17,1.44
2026-06-06,18,1.57
2026-06-06,19,1.83
2026-06-06,20,2
2026-06-06,21,1.96
2026-06-06,22,1.72
2026-06-06,23,1.06
2026-06-07,0,0.6
2026-06-07,1,0.01
2026-06-07,2,0.01
2026-06-07,3,0.01
2026-06-07,4,0.01
2026-06-07,5,0.72
2026-06-07,6,1.28
2026-06-07,7,1.83
2026-06-07,8,1.86
2026-06-07,9,1.84
2026-06-07,10,1.8
2026-06-07,11,1.46
2026-06-07,12,1.24
2026-06-07,13,1.3
2026-06-07,14,1.32
2026-06-07,15,1.34
2026-06-07,16,1.45
2026-06-07,17,1.5
2026-06-07,18,1.65
2026-06-07,19,1.94
2026-06-07,20,2
2026-06-07,21,1.98
2026-06-07,22,1.78
2026-06-07,23,1.04
2026-06-08,0,0.44
2026-06-08,1,0.01
2026-06-08,2,0.01
2026-06-08,3,0.01
2026-06-08,4,0.01
2026-06-08,5,0.57
2026-06-08,6,1.01
2026-06-08,7,1.04
2026-06-08,8,1.11
2026-06-08,9,1.03
2026-06-08,10,0.93
2026-06-08,11,0.86
2026-06-08,12,0.83
2026-06-08,13,0.82
2026-06-08,14,0.82
2026-06-08,15,0.9
2026-06-08,16,0.93
2026-06-08,17,1
2026-06-08,18,1.04
2026-06-08,19,1.57
2026-06-08,20,1.83
2026-06-08,21,1.75
2026-06-08,22,1.29
2026-06-08,23,0.97
2026-06-09,0,0.46
2026-06-09,1,0.01
2026-06-09,2,0.01
2026-06-09,3,0.01
2026-06-09,4,0.01
2026-06-09,5,0.62
2026-06-09,6,1.07
2026-06-09,7,1.11
2026-06-09,8,1.17
2026-06-09,9,1.08
2026-06-09,10,0.98
2026-06-09,11,0.87
2026-06-09,12,0.87
2026-06-09,13,0.86
2026-06-09,14,0.87
2026-06-09,15,0.98
2026-06-09,16,1.04
2026-06-09,17,1.06
2026-06-09,18,1.1
2026-06-09,19,1.66
2026-06-09,20,1.98
2026-06-09,21,1.91
2026-06-09,22,1.2
2026-06-09,23,0.95
2026-06-10,0,0.46
2026-06-10,1,0.01
2026-06-10,2,0.01
2026-06-10,3,0.01
2026-06-10,4,0.01
2026-06-10,5,0.64
2026-06-10,6,1.07
2026-06-10,7,1.12
2026-06-10,8,1.18
2026-06-10,9,1.1
2026-06-10,10,1
2026-06-10,11,0.9
2026-06-10,12,0.89
2026-06-10,13,0.89
2026-06-10,14,0.91
2026-06-10,15,0.99
2026-06-10,16,1.05
2026-06-10,17,1.08
2026-06-10,18,1.11
2026-06-10,19,1.69
2026-06-10,20,2
2026-06-10,21,1.93
2026-06-10,22,1.4
2026-06-10,23,1.01
2026-06-11,0,0.48
2026-06-11,1,0.01
2026-06-11,2,0.01
2026-06-11,3,0.01
2026-06-11,4,0.01
2026-06-11,5,0.62
2026-06-11,6,1.1
2026-06-11,7,1.13
2026-06-11,8,1.19
2026-06-11,9,1.12
2026-06-11,10,1
2026-06-11,11,0.9
2026-06-11,12,0.88
2026-06-11,13,0.9
2026-06-11,14,0.9
2026-06-11,15,1
2026-06-11,16,1.05
2026-06-11,17,1.07
2026-06-11,18,1.1
2026-06-11,19,1.68
2026-06-11,20,1.98
2026-06-11,21,1.91
2026-06-11,22,1.09
2026-06-11,23,0.92
2026-06-12,0,0.46
2026-06-12,1,0.01
2026-06-12,2,0.01
2026-06-12,3,0.01
2026-06-12,4,0.01
2026-06-12,5,0.6
2026-06-12,6,1.09
2026-06-12,7,1.12
2026-06-12,8,1.17
2026-06-12,9,1.17
2026-06-12,10,0.93
2026-06-12,11,0.81
2026-06-12,12,0.91
2026-06-12,13,0.84
2026-06-12,14,0.87
2026-06-12,15,0.98
2026-06-12,16,1
2026-06-12,17,1.05
2026-06-12,18,1.09
2026-06-12,19,1.65
2026-06-12,20,1.91
2026-06-12,21,1.87
2026-06-12,22,1.39
2026-06-12,23,1
2026-06-13,0,0.56
2026-06-13,1,0.01
2026-06-13,2,0.01
2026-06-13,3,0.01
2026-06-13,4,0.01
2026-06-13,5,0.68
2026-06-13,6,1.22
2026-06-13,7,1.75
2026-06-13,8,1.8
2026-06-13,9,1.78
2026-06-13,10,1.7
2026-06-13,11,1.39
2026-06-13,12,1.29
2026-06-13,13,1.25
2026-06-13,14,1.27
2026-06-13,15,1.31
2026-06-13,16,1.35
2026-06-13,17,1.44
2026-06-13,18,1.57
2026-06-13,19,1.83
2026-06-13,20,2
2026-06-13,21,1.96
2026-06-13,22,1.72
2026-06-13,23,1.06
2026-06-14,0,0.6
2026-06-14,1,0.01
2026-06-14,2,0.01
2026-06-14,3,0.01
2026-06-14,4,0.01
2026-06-14,5,0.72
2026-06-14,6,1.28
2026-06-14,7,1.83
2026-06-14,8,1.86
2026-06-14,9,1.84
2026-06-14,10,1.8
2026-06-14,11,1.46
2026-06-14,12,1.24
2026-06-14,13,1.3
2026-06-14,14,1.32
2026-06-14,15,1.34
2026-06-14,16,1.45
2026-06-14,17,1.5
2026-06-14,18,1.65
2026-06-14,19,1.94
2026-06-14,20,2
2026-06-14,21,1.98
2026-06-14,22,1.78
2026-06-14,23,1.04
2026-06-15,0,0.44
2026-06-15,1,0.01
2026-06-15,2,0.01
2026-06-15,3,0.01
2026-06-15,4,0.01
2026-06-15,5,0.57
2026-06-15,6,1.01
2026-06-15,7,1.04
2026-06-15,8,1.11
2026-06-15,9,1.03
2026-06-15,10,0.93
2026-06-15,11,0.86
2026-06-15,12,0.83
2026-06-15,13,0.82
2026-06-15,14,0.82
2026-06-15,15,0.9
2026-06-15,16,0.93
2026-06-15,17,1
2026-06-15,18,1.04
2026-06-15,19,1.57
2026-06-15,20,1.83
2026-06-15,21,1.75
2026-06-15,22,1.29
2026-06-15,23,0.97
2026-06-16,0,0.46
2026-06-16,1,0.01
2026-06-16,2,0.01
2026-06-16,3,0.01
2026-06-16,4,0.01
2026-06-16,5,0.62
2026-06-16,6,1.07
2026-06-16,7,1.11
2026-06-16,8,1.17
2026-06-16,9,1.08
2026-06-16,10,0.98
2026-06-16,11,0.87
2026-06-16,12,0.87
2026-06-16,13,0.86
2026-06-16,14,0.87
2026-06-16,15,0.98
2026-06-16,16,1.04
2026-06-16,17,1.06
2026-06-16,18,1.1
2026-06-16,19,1.66
2026-06-16,20,1.98
2026-06-16,21,1.91
2026-06-16,22,1.2
2026-06-16,23,0.95
2026-06-17,0,0.46
2026-06-17,1,0.01
2026-06-17,2,0.01
2026-06-17,3,0.01
2026-06-17,4,0.01
2026-06-17,5,0.64
2026-06-17,6,1.07
2026-06-17,7,1.12
2026-06-17,8,1.18
2026-06-17,9,1.1
2026-06-17,10,1
2026-06-17,11,0.9
2026-06-17,12,0.89
2026-06-17,13,0.89
2026-06-17,14,0.91
2026-06-17,15,0.99
2026-06-17,16,1.05
2026-06-17,17,1.08
2026-06-17,18,1.11
2026-06-17,19,1.69
2026-06-17,20,2
2026-06-17,21,1.93
2026-06-17,22,1.4
2026-06-17,23,1.01
2026-06-18,0,0.48
2026-06-18,1,0.01
2026-06-18,2,0.01
2026-06-18,3,0.01
2026-06-18,4,0.01
2026-06-18,5,0.62
