date,hour,weight
2026-06-18,6,1.1
2026-06-18,7,1.13
2026-06-18,8,1.19
2026-06-18,9,1.12
2026-06-18,10,1
2026-06-18,11,0.9
2026-06-18,12,0.88
2026-06-18,13,0.9
2026-06-18,14,0.9
2026-06-18,15,1
2026-06-18,16,1.05
2026-06-18,17,1.07
2026-06-18,18,1.1
2026-06-18,19,1.68
2026-06-18,20,1.98
2026-06-18,21,1.91
2026-06-18,22,1.09
2026-06-18,23,0.92
2026-06-19,0,0.46
2026-06-19,1,0.01
2026-06-19,2,0.01
2026-06-19,3,0.01
2026-06-19,4,0.01
2026-06-19,5,0.6
2026-06-19,6,1.09
2026-06-19,7,1.12
2026-06-19,8,1.23
2026-06-19,9,1.05
2026-06-19,10,0.93
2026-06-19,11,0.93
2026-06-19,12,0.85
2026-06-19,13,0.84
2026-06-19,14,0.87
2026-06-19,15,0.98
2026-06-19,16,1
2026-06-19,17,1.05
2026-06-19,18,1.09
2026-06-19,19,1.65
2026-06-19,20,1.91
2026-06-19,21,1.87
2026-06-19,22,1.39
2026-06-19,23,1
2026-06-20,0,0.56
2026-06-20,1,0.01
2026-06-20,2,0.01
2026-06-20,3,0.01
2026-06-20,4,0.01
2026-06-20,5,0.68
2026-06-20,6,1.22
2026-06-20,7,1.75
2026-06-20,8,1.8
2026-06-20,9,1.78
2026-06-20,10,1.7
2026-06-20,11,1.39
2026-06-20,12,1.29
2026-06-20,13,1.25
2026-06-20,14,1.27
2026-06-20,15,1.31
2026-06-20,16,1.35
2026-06-20,17,1.44
2026-06-20,18,1.57
2026-06-20,19,1.83
2026-06-20,20,2
2026-06-20,21,1.96
2026-06-20,22,1.72
2026-06-20,23,1.06
2026-06-21,0,0.6
2026-06-21,1,0.01
2026-06-21,2,0.01
2026-06-21,3,0.01
2026-06-21,4,0.01
2026-06-21,5,0.72
2026-06-21,6,1.28
2026-06-21,7,1.83
2026-06-21,8,1.86
2026-06-21,9,1.84
2026-06-21,10,1.8
2026-06-21,11,1.46
2026-06-21,12,1.24
2026-06-21,13,1.3
2026-06-21,14,1.32
2026-06-21,15,1.34
2026-06-21,16,1.45
2026-06-21,17,1.5
2026-06-21,18,1.65
2026-06-21,19,1.94
2026-06-21,20,2
2026-06-21,21,1.98
2026-06-21,22,1.78
2026-06-21,23,1.04
2026-06-22,0,0.44
2026-06-22,1,0.01
2026-06-22,2,0.01
2026-06-22,3,0.01
2026-06-22,4,0.01
2026-06-22,5,0.57
2026-06-22,6,1.01
2026-06-22,7,1.04
2026-06-22,8,1.11
2026-06-22,9,1.03
2026-06-22,10,0.93
2026-06-22,11,0.86
2026-06-22,12,0.83
2026-06-22,13,0.82
2026-06-22,14,0.82
2026-06-22,15,0.9
2026-06-22,16,0.93
2026-06-22,17,1
2026-06-22,18,1.04
2026-06-22,19,1.57
2026-06-22,20,1.83
2026-06-22,21,1.75
2026-06-22,22,1.29
2026-06-22,23,0.97
2026-06-23,0,0.46
2026-06-23,1,0.01
2026-06-23,2,0.01
2026-06-23,3,0.01
2026-06-23,4,0.01
2026-06-23,5,0.62
2026-06-23,6,1.07
2026-06-23,7,1.11
2026-06-23,8,1.17
2026-06-23,9,1.08
2026-06-23,10,0.98
2026-06-23,11,0.87
2026-06-23,12,0.87
2026-06-23,13,0.86
2026-06-23,14,0.87
2026-06-23,15,0.98
2026-06-23,16,1.04
2026-06-23,17,1.06
2026-06-23,18,1.1
2026-06-23,19,1.66
2026-06-23,20,1.98
2026-06-23,21,1.91
2026-06-23,22,1.2
2026-06-23,23,0.95
2026-06-24,0,0.46
2026-06-24,1,0.01
2026-06-24,2,0.01
2026-06-24,3,0.01
2026-06-24,4,0.01
2026-06-24,5,0.64
2026-06-24,6,1.07
2026-06-24,7,1.12
2026-06-24,8,1.18
2026-06-24,9,1.1
2026-06-24,10,1
2026-06-24,11,0.9
2026-06-24,12,0.89
2026-06-24,13,0.89
2026-06-24,14,0.91
2026-06-24,15,0.99
2026-06-24,16,1.05
2026-06-24,17,1.08
2026-06-24,18,1.11
2026-06-24,19,1.69
2026-06-24,20,2
2026-06-24,21,1.93
2026-06-24,22,1.4
2026-06-24,23,1.01
2026-06-25,0,0.48
2026-06-25,1,0.01
2026-06-25,2,0.01
2026-06-25,3,0.01
2026-06-25,4,0.01
2026-06-25,5,0.62
2026-06-25,6,1.1
2026-06-25,7,1.13
2026-06-25,8,1.25
2026-06-25,9,1.06
2026-06-25,10,0.94
2026-06-25,11,0.96
2026-06-25,12,0.88
2026-06-25,13,0.9
2026-06-25,14,0.9
2026-06-25,15,1
2026-06-25,16,1.05
2026-06-25,17,1.07
2026-06-25,18,1.1
2026-06-25,19,1.68
2026-06-25,20,1.98
2026-06-25,21,1.91
2026-06-25,22,1.09
2026-06-25,23,0.92
2026-06-26,0,0.46
2026-06-26,1,0.01
2026-06-26,2,0.01
2026-06-26,3,0.01
2026-06-26,4,0.01
2026-06-26,5,0.6
2026-06-26,6,1.09
2026-06-26,7,1.12
2026-06-26,8,1.17
2026-06-26,9,1.11
2026-06-26,10,0.99
2026-06-26,11,0.87
2026-06-26,12,0.85
2026-06-26,13,0.84
2026-06-26,14,0.87
2026-06-26,15,0.98
2026-06-26,16,1
2026-06-26,17,1.05
2026-06-26,18,1.09
2026-06-26,19,1.65
2026-06-26,20,1.91
2026-06-26,21,1.87
2026-06-26,22,1.39
2026-06-26,23,1
2026-06-27,0,0.56
2026-06-27,1,0.01
2026-06-27,2,0.01
2026-06-27,3,0.01
2026-06-27,4,0.01
2026-06-27,5,0.68
2026-06-27,6,1.22
2026-06-27,7,1.75
2026-06-27,8,1.8
2026-06-27,9,1.78
2026-06-27,10,1.7
2026-06-27,11,1.39
2026-06-27,12,1.29
2026-06-27,13,1.25
2026-06-27,14,1.27
2026-06-27,15,1.31
2026-06-27,16,1.35
2026-06-27,17,1.44
2026-06-27,18,1.57
2026-06-27,19,1.83
2026-06-27,20,2
2026-06-27,21,1.96
2026-06-27,22,1.72
2026-06-27,23,1.06
2026-06-28,0,0.6
2026-06-28,1,0.01
2026-06-28,2,0.01
2026-06-28,3,0.01
2026-06-28,4,0.01
2026-06-28,5,0.72
2026-06-28,6,1.28
2026-06-28,7,1.83
2026-06-28,8,1.86
2026-06-28,9,1.84
2026-06-28,10,1.8
2026-06-28,11,1.46
2026-06-28,12,1.24
2026-06-28,13,1.3
2026-06-28,14,1.32
2026-06-28,15,1.34
2026-06-28,16,1.45
2026-06-28,17,1.5
2026-06-28,18,1.65
2026-06-28,19,1.94
2026-06-28,20,2
2026-06-28,21,1.98
2026-06-28,22,1.78
2026-06-28,23,1.04
2026-06-29,0,0.44
2026-06-29,1,0.01
2026-06-29,2,0.01
2026-06-29,3,0.01
2026-06-29,4,0.01
2026-06-29,5,0.57
2026-06-29,6,1.01
2026-06-29,7,1.04
2026-06-29,8,1.11
2026-06-29,9,1.03
2026-06-29,10,0.93
2026-06-29,11,0.86
2026-06-29,12,0.83
2026-06-29,13,0.82
2026-06-29,14,0.82
2026-06-29,15,0.9
2026-06-29,16,0.93
2026-06-29,17,1
2026-06-29,18,1.04
2026-06-29,19,1.57
2026-06-29,20,1.83
2026-06-29,21,1.75
2026-06-29,22,1.29
2026-06-29,23,0.97
2026-06-30,0,0.46
2026-06-30,1,0.01
2026-06-30,2,0.01
2026-06-30,3,0.01
2026-06-30,4,0.01
2026-06-30,5,0.62
2026-06-30,6,1.07
2026-06-30,7,1.11
2026-06-30,8,1.17
2026-06-30,9,1.08
2026-06-30,10,0.98
2026-06-30,11,0.87
2026-06-30,12,0.87
2026-06-30,13,0.86
2026-06-30,14,0.87
2026-06-30,15,0.98
2026-06-30,16,1.04
2026-06-30,17,1.06
2026-06-30,18,1.1
2026-06-30,19,1.66
2026-06-30,20,1.98
2026-06-30,21,1.91
2026-06-30,22,1.2
2026-06-30,23,0.891666667
